TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,DRAFT_YEAR
15010,1626183,Branden,Dawson,Branden Dawson,PF,77.5,6' 5.5'',78.75,6' 6.75'',230.2,83.0,6' 11'',105.0,8' 9'',5.8,9.0,8.75,2015
15012,1626155,Sam,Dekker,Sam Dekker,SF,79.75,6' 7.75'',81.0,6' 9'',218.6,83.5,6' 11.5'',106.0,8' 10'',7.5,8.5,9.25,2015
15013,1626187,Michael,Frazier II,Michael Frazier II,SG,75.75,6' 3.75'',76.25,6' 4.25'',199.4,80.0,6' 8'',101.5,8' 5.5'',7.4,8.25,9.25,2015
15014,1626203,Treveon,Graham,Treveon Graham,SF,76.0,6' 4'',77.75,6' 5.75'',219.4,82.5,6' 10.5'',103.0,8' 7'',5.5,8.5,8.25,2015
15015,1626170,Jerian,Grant,Jerian Grant,PG,75.25,6' 3.25'',76.25,6' 4.25'',198.0,79.5,6' 7.5'',100.0,8' 4'',5.6,8.25,8.5,2015
15016,1626152,Olivier,Hanlan,Olivier Hanlan,PG-SG,75.25,6' 3.25'',76.25,6' 4.25'',185.8,78.0,6' 6'',100.0,8' 4'',4.3,8.0,8.75,2015
15017,1626149,Montrezl,Harrell,Montrezl Harrell,PF,79.0,6' 7'',79.5,6' 7.5'',253.4,88.25,7' 4.25'',109.0,9' 1'',11.9,9.0,9.75,2015
15019,1626150,Andrew,Harrison,Andrew Harrison,PG,76.5,6' 4.5'',77.5,6' 5.5'',213.2,81.0,6' 9'',100.0,8' 4'',5.9,8.25,9.25,2015
15018,1626151,Aaron,Harrison,Aaron Harrison,SG,76.5,6' 4.5'',78.0,6' 6'',209.2,80.25,6' 8.25'',100.5,8' 4.5'',6.0,8.75,10.0,2015
15020,1626227,Tyler,Harvey,Tyler Harvey,SG,74.75,6' 2.75'',76.0,6' 4'',181.4,77.5,6' 5.5'',98.5,8' 2.5'',9.2,7.75,8.75,2015
15021,1626186,Corey,Hawkins,Corey Hawkins,SG-PG,72.75,6' 0.75'',73.75,6' 1.75'',191.8,80.0,6' 8'',99.5,8' 3.5'',5.5,8.75,9.0,2015
15022,1626178,Rondae,Hollis-Jefferson,Rondae Hollis-Jefferson,SF,77.5,6' 5.5'',79.0,6' 7'',210.8,86.0,7' 2'',104.0,8' 8'',5.0,8.75,9.75,2015
15024,1626158,Richaun,Holmes,Richaun Holmes,PF,80.25,6' 8.25'',81.5,6' 9.5'',242.8,85.5,7' 1.5'',108.0,9' 0'',8.8,8.5,8.5,2015
15023,1626182,Jonathan,Holmes,Jonathan Holmes,PF-SF,80.25,6' 8.25'',81.25,6' 9.25'',242.2,83.5,6' 11.5'',107.5,8' 11.5'',7.2,8.25,9.5,2015
15025,1626154,R.J.,Hunter,R.J. Hunter,SG,76.5,6' 4.5'',78.0,6' 6'',185.0,82.5,6' 10.5'',104.0,8' 8'',6.0,8.5,8.25,2015
15026,1626205,Vince,Hunter,Vince Hunter,PF,78.75,6' 6.75'',79.5,6' 7.5'',208.4,83.0,6' 11'',104.5,8' 8.5'',4.6,9.0,8.75,2015
15028,1626177,Dakari,Johnson,Dakari Johnson,C,83.0,6' 11'',83.75,6' 11.75'',264.6,86.0,7' 2'',112.0,9' 4'',14.9,9.25,10.5,2015
15029,1626169,Stanley,Johnson,Stanley Johnson,SF,77.0,6' 5'',78.5,6' 6.5'',241.8,83.5,6' 11.5'',102.0,8' 6'',7.5,9.0,9.0,2015
15030,1626145,Tyus,Jones,Tyus Jones,PG,72.5,6' 0.5'',74.0,6' 2'',184.6,77.0,6' 5'',97.0,8' 1'',6.5,8.25,8.75,2015
15031,1626163,Frank,Kaminsky,Frank Kaminsky,C-PF,83.75,6' 11.75'',84.75,7' 0.75'',231.2,83.0,6' 11'',109.5,9' 1.5'',9.4,8.5,9.5,2015
15032,1626172,Kevon,Looney,Kevon Looney,PF,80.0,6' 8'',81.25,6' 9.25'',222.4,87.5,7' 3.5'',110.0,9' 2'',11.9,9.5,9.25,2015
15033,1626168,Trey,Lyles,Trey Lyles,PF,81.0,6' 9'',82.25,6' 10.25'',241.2,85.5,7' 1.5'',108.0,9' 0'',12.1,9.25,10.25,2015
15034,1626185,Jarell,Martin,Jarell Martin,PF,80.0,6' 8'',81.25,6' 9.25'',238.6,81.0,6' 9'',106.5,8' 10.5'',10.1,8.25,9.5,2015
15035,204456,TJ,McConnell,TJ McConnell,PG,72.5,6' 0.5'',74.0,6' 2'',187.8,74.0,6' 2'',96.5,8' 0.5'',7.3,7.5,7.0,2015
15036,1626191,Chris,McCullough,Chris McCullough,PF,80.25,6' 8.25'',81.0,6' 9'',199.0,87.25,7' 3.25'',109.0,9' 1'',6.2,8.75,8.75,2015
15037,1626175,Jordan,Mickey,Jordan Mickey,PF,79.0,6' 7'',80.25,6' 8.25'',238.0,87.25,7' 3.25'',106.0,8' 10'',7.2,8.75,9.5,2015
15038,2006,Larry,Nance,Larry Nance,PF,79.5,6' 7.5'',80.5,6' 8.5'',226.6,85.5,7' 1.5'',108.0,9' 0'',6.4,9.0,9.75,2015
15039,1626162,Kelly,Oubre,Kelly Oubre,SF-SG,77.75,6' 5.75'',78.75,6' 6.75'',202.8,86.25,7' 2.25'',102.5,8' 6.5'',5.7,9.0,8.75,2015
15040,1626166,Cameron,Payne,Cameron Payne,PG,72.75,6' 0.75'',73.5,6' 1.5'',182.8,79.25,6' 7.25'',97.5,8' 1.5'',6.3,8.5,8.25,2015
15041,1626189,Terran,Petteway,Terran Petteway,SG,76.75,6' 4.75'',78.0,6' 6'',209.2,83.25,6' 11.25'',104.5,8' 8.5'',4.9,8.25,8.25,2015
15042,1626171,Bobby,Portis,Bobby Portis,PF,81.5,6' 9.5'',82.5,6' 10.5'',246.2,86.0,7' 2'',108.5,9' 0.5'',8.9,9.5,9.25,2015
15043,1626181,Norman,Powell,Norman Powell,SG,75.0,6' 3'',76.25,6' 4.25'',215.4,82.75,6' 10.75'',102.5,8' 6.5'',6.4,9.25,9.0,2015
15044,1626180,Michael,Qualls,Michael Qualls,SG-SF,76.0,6' 4'',77.0,6' 5'',201.4,84.25,7' 0.25'',104.5,8' 8.5'',4.0,9.0,10.25,2015
15045,1626184,Chasson,Randle,Chasson Randle,PG,72.25,6' 0.25'',73.5,6' 1.5'',178.8,79.0,6' 7'',96.5,8' 0.5'',4.5,8.5,9.5,2015
15046,1626179,Terry,Rozier,Terry Rozier,PG-SG,72.5,6' 0.5'',74.25,6' 2.25'',190.2,80.25,6' 8.25'',98.5,8' 2.5'',5.6,8.25,8.5,2015
15047,1626156,D?Angelo,Russell,D?Angelo Russell,PG-SG,75.25,6' 3.25'',77.0,6' 5'',193.4,81.75,6' 9.75'',102.0,8' 6'',8.3,8.75,9.75,2015
