SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE,DRAFT_YEAR
2015,1626176,Rakeem,Christmas,Rakeem Christmas,PF-C,80.25,6' 8.25'',81.75,6' 9.75'',242.6,89.25,7' 5.25'',110.5,9' 2.5'',9.6,9.25,9.0,29.0,32.0,11.6,3.3,3.47,9.0,,,,,,2-5,4-5,3-5,4-5,3-5,3-5,1-5,1-5,1-5,3-5,,,,5-8,3-8,2-8,,27-44,2015
2015,1626192,Pat,Connaughton,Pat Connaughton,SG,76.0,6' 4'',77.25,6' 5.25'',215,80.0,6' 8'',96.0,8' 0'',10.2,8.5,9.25,37.5,44.0,10.58,3.08,3.2,13.0,,,,,,5-5,3-5,5-5,2-5,4-5,4-5,5-5,3-5,2-5,3-5,6-8,2-8,4-8,,,,,15-32,2015
2015,1626188,Quinn,Cook,Quinn Cook,PG,72.25,6' 0.25'',74.0,6' 2'',179,76.0,6' 4'',96.5,8' 0.5'',6.7,7.5,8.75,24.5,31.0,11.44,3.41,3.38,14.0,,,,,,5-5,5-5,5-5,5-5,5-5,2-5,3-5,5-5,4-5,3-5,5-8,4-8,6-8,,,,,34-49,2015
2015,1626183,Branden,Dawson,Branden Dawson,PF,77.5,6' 5.5'',78.75,6' 6.75'',230.2,83.0,6' 11'',105.0,8' 9'',5.8,9.0,8.75,28.5,34.5,12.22,3.53,3.2,12.0,,,,,,2-5,3-5,2-5,2-5,1-5,2-5,4-5,2-5,2-5,3-5,,,,5-8,3-8,4-8,,25-47,2015
2015,1626155,Sam,Dekker,Sam Dekker,SF,79.75,6' 7.75'',81.0,6' 9'',218.6,83.5,6' 11.5'',106.0,8' 10'',7.5,8.5,9.25,25.5,34.5,10.64,2.96,3.28,5.0,,,,,,,,,,,,,,,,,,,,,,,,2015
2015,1626187,Michael,Frazier II,Michael Frazier II,SG,75.75,6' 3.75'',76.25,6' 4.25'',199.4,80.0,6' 8'',101.5,8' 5.5'',7.4,8.25,9.25,27.0,35.0,10.66,3.02,3.32,10.0,,,,,,5-5,2-5,5-5,3-5,5-5,4-5,3-5,4-5,2-5,4-5,,,,4-8,5-8,6-8,,34-47,2015
2015,1626203,Treveon,Graham,Treveon Graham,SF,76.0,6' 4'',77.75,6' 5.75'',219.4,82.5,6' 10.5'',103.0,8' 7'',5.5,8.5,8.25,28.5,31.5,11.64,3.15,3.3,11.0,,,,,,2-5,4-5,3-5,4-5,1-5,3-5,3-5,3-5,4-5,5-5,4-8,6-8,2-8,,,,,32-41,2015
2015,1626170,Jerian,Grant,Jerian Grant,PG,75.25,6' 3.25'',76.25,6' 4.25'',198,79.5,6' 7.5'',100.0,8' 4'',5.6,8.25,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
2015,1626152,Olivier,Hanlan,Olivier Hanlan,PG-SG,75.25,6' 3.25'',76.25,6' 4.25'',185.8,78.0,6' 6'',100.0,8' 4'',4.3,8.0,8.75,28.0,34.0,11.41,3.12,3.25,19.0,,,,,,4-5,4-5,4-5,4-5,5-5,3-5,4-5,2-5,3-5,3-5,8-8,5-8,7-8,,,,,31-46,2015
2015,1626149,Montrezl,Harrell,Montrezl Harrell,PF,79.0,6' 7'',79.5,6' 7.5'',253.4,88.25,7' 4.25'',109.0,9' 1'',11.9,9.0,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
