PLAYER_ID,PLAYER_NAME,FIRST_NAME,LAST_NAME,POSITION,DRAFT_YEAR,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,MODIFIED_LANE_AGILITY_TIME,GAMES_PLAYED,MINUTES,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,TURNOVERS,FIELD_GOAL_PCT,THREE_POINT_PCT,FREE_THROW_PCT,WINGSPAN_INCHES,STANDING_REACH_INCHES,PRA_PERMIN,SEASON,HEIGHT_W_SHOES
1629626,Bol Bol,Bol,Bol,C,2019,84.75,208.0,91.0,115.5,7.1,9.25,9.5,,,,,,7.0,12.4,5.7,2.7,0.9,0.3,0.9,1.4,0.5,0.444,0.8,91.0,115.5,0.75,2019,86.5
1626183,Branden Dawson,Branden,Dawson,PF,2015,77.5,230.2,83.0,105.0,5.8,9.0,8.75,12.22,3.2,28.5,34.5,3.53,6.0,4.8,0.8,0.7,0.0,0.0,0.2,0.0,0.4,0.0,1.0,83.0,105.0,0.3125,2015,78.75
1641764,Brandin Podziemski,Brandin,Podziemski,SG,2023,75.75,203.8,77.5,96.5,,8.25,10.0,11.16,3.21,31.5,39.0,3.2,74.0,26.6,9.2,5.8,3.7,0.8,0.2,1.2,0.454,0.385,0.633,77.5,96.5,0.7030075187969924,2023,
1630527,Brandon Boston Jr.,Brandon,Boston Jr.,SF,2021,77.75,188.0,82.75,104.0,6.0,9.0,9.75,,,,,,51.0,14.9,6.7,2.2,1.0,0.5,0.3,0.6,0.385,0.306,0.819,82.75,104.0,0.6644295302013423,2021,79.0
1629634,Brandon Clarke,Brandon,Clarke,SF,2019,79.25,207.2,80.25,102.0,4.9,8.25,9.5,10.61,3.15,34.0,40.5,3.05,58.0,22.4,12.1,5.9,1.4,0.6,0.8,0.9,0.618,0.359,0.759,80.25,102.0,0.8660714285714286,2019,80.25
1628968,Brian Bowen,Brian,Bowen,SG-SF,2018,78.25,202.0,82.25,103.5,7.6,9.0,10.0,11.58,3.28,30.5,34.0,3.33,6.0,5.2,1.0,1.2,0.0,0.0,0.2,0.2,0.3,0.0,0.0,82.25,103.5,0.4230769230769231,2018,79.5
1628968,Brian Bowen II,Brian,Bowen II,SF,2019,78.25,200.0,82.0,103.0,6.5,8.5,9.75,10.98,3.26,32.0,35.5,3.21,6.0,5.2,1.0,1.2,0.0,0.0,0.2,0.2,0.3,0.0,0.0,82.0,103.0,0.4230769230769231,2019,79.5
1627744,Brice Johnson,Brice,Johnson,PF,2016,81.0,208.6,84.5,106.5,7.5,9.0,8.25,11.88,3.2,33.5,38.0,2.94,3.0,3.0,1.3,1.0,0.3,0.7,0.3,0.3,0.286,0.0,0.0,84.5,106.5,0.8666666666666666,2016,82.5
1628971,Bruce Brown,Bruce,Brown,SG-PG,2018,75.5,194.6,81.0,98.5,3.75,8.5,8.5,11.11,3.2,32.5,38.0,3.44,74.0,19.6,4.3,2.5,1.2,0.5,0.5,0.6,0.398,0.258,0.75,81.0,98.5,0.4081632653061224,2018,77.0
1628981,Bruno Fernando,Bruno,Fernando,C,2018,80.75,233.2,88.25,109.0,5.25,9.5,10.0,12.19,3.23,29.0,35.0,3.03,56.0,12.7,4.3,3.5,0.9,0.3,0.3,0.8,0.518,0.135,0.569,88.25,109.0,0.6850393700787402,2018,81.75
1628981,Bruno Fernando,Bruno,Fernando,C,2019,80.75,237.0,87.25,110.0,5.4,9.25,10.0,11.29,3.21,29.5,33.5,3.05,56.0,12.7,4.3,3.5,0.9,0.3,0.3,0.8,0.518,0.135,0.569,87.25,110.0,0.6850393700787402,2019,82.25
1631121,Bryce McGowens,Bryce,McGowens,SG,2022,77.25,181.2,80.75,103.5,5.4,8.75,9.5,11.12,3.27,29.5,34.0,3.16,46.0,17.1,5.3,2.0,1.2,0.3,0.1,0.9,0.396,0.325,0.75,80.75,103.5,0.4970760233918128,2022,78.5
